Industries,Power Houses,Vehicles,Commercial Buildings,Trees,Air Pollution Index
45,31,7710,148,18421,67.86903869965013
48,21,981,197,2859,39.349422635174605
65,15,489,56,7060,55.63645147326595
68,33,415,102,8550,59.47162979768147
68,2,1732,43,10661,64.12963338493387
10,42,3437,83,5788,42.228216622525714
84,24,4970,54,3576,28.98347037774829
22,40,8084,36,10232,42.05048603286019
37,37,8217,72,11853,45.81722386819139
88,3,9892,40,19147,64.4527950193664
71,24,785,81,13672,75.6226923792665
89,20,8400,53,6347,27.272488833509485
89,16,2580,149,5938,44.01947872677382
13,7,3080,172,3510,35.85916222017556
59,16,9085,26,19702,69.66093739094993
66,35,2418,168,5982,43.93212698591247
40,45,576,195,9895,62.12414403343928
88,2,8441,118,7112,29.35892229880585
47,12,7012,62,13418,55.79861134355276
89,43,3566,64,9528,51.67372086816075
82,37,8679,72,15854,56.652219113188316
38,29,8815,4,10946,41.817325269130365
26,27,3913,73,15158,71.48740770726528
78,20,1507,93,8398,55.91016780185293
73,35,5747,99,10090,47.322024694955104
10,42,5091,161,2286,24.21738415620254
21,35,5680,15,3844,29.15903266875212
81,20,1502,38,7280,52.847488007923886
70,15,7434,147,11368,45.90999155852483
80,20,9817,197,5322,17.653087511229657
48,28,5729,194,288,15.050142936016513
65,44,1864,92,12825,68.48916796528914
83,5,9570,110,1208,7.015240992336331
89,34,769,71,11427,67.9598348228975
50,49,2286,10,4272,40.48745609788556
30,41,3829,91,13489,64.9462633708332
20,22,7613,123,6493,30.67362661906921
20,2,4918,180,4718,34.13953925266277
15,5,5143,68,5114,35.65358092156872
40,46,5983,1,13426,57.9006739175828
33,14,2354,21,10154,60.898515415890266
66,25,9314,151,18787,64.0292653287373
10,7,5460,116,18869,79.13688450624093
58,2,1071,98,13573,75.32598006089674
33,49,5412,98,17845,73.35452553689731
32,28,1112,39,12783,72.78419257049825
75,5,6331,3,15057,63.51598604518836
24,11,300,110,10703,68.62995861627537
36,18,1880,48,1014,32.551602064912075
76,15,4866,109,8705,46.19197538977004
56,37,7461,119,9352,38.42513651965063
29,21,5034,94,5300,35.76876475370008
35,34,5308,129,17048,72.19198176613581
1,41,1424,53,15605,80.86920603388141
1,32,381,54,11943,73.06574085383727
37,49,7528,122,16624,62.690858978733154
